index,Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
328,9/25/2019 0:00,3714,0.166293536,0.147157267,1.10453434,0.407110606,1190,90.85816
523,4/7/2020 0:00,3302,0.146596411,0.060107029,1.137403304,0.364428287,1390,104.430894
1086,10/22/2021 0:00,4256,0.775290445,0.281810289,1.168189481,0.613512798,2010,146.706532
215,6/4/2019 0:00,4677,0.163720986,0.051685223,1.253258474,0.587933612,746,51.200279
256,7/15/2019 0:00,4278,0.19828594,0.043615708,1.136103938,0.429396836,906,64.994549
516,3/31/2020 0:00,3281,0.112561643,0.050813928,1.025871107,0.404473127,1390,100.49562
545,4/29/2020 0:00,4273,0.146621721,0.024330739,1.195938752,0.576904154,1600,111.629897
380,11/16/2019 0:00,3123,0.14830382,0.024305436,1.171504054,0.287969421,1270,95.569879
457,2/1/2020 0:00,3082,0.174709582,0.025700755,0.962483086,0.2975369,1550,111.605537
247,7/6/2019 0:00,3301,0.286986544,0.031203624,0.897182388,0.332801893,793,65.082061
833,2/11/2021 0:00,5889,0.565664571,0.261932918,1.271182419,0.605184655,2140,164.73589
636,7/29/2020 0:00,4566,0.099632304,0.103341661,1.283028885,0.520354051,1680,126.940916
327,9/24/2019 0:00,3763,0.192750513,0.02987994,1.163618121,0.446587158,1190,90.098194
694,9/25/2020 0:00,4151,0.103774988,0.031397263,1.348089142,0.496788005,1930,133.83926
598,6/21/2020 0:00,3136,0.057479295,0.010133283,0.981158459,0.49069409,1580,105.875824
352,10/19/2019 0:00,3500,0.130035,0.021894366,0.968948148,0.274453509,1300,93.854559
865,3/15/2021 0:00,5175,0.728511913,0.137620941,1.356310189,0.896048452,2140,156.274409
561,5/15/2020 0:00,4715,0.056994126,0.096981321,1.272443528,0.28933487,1610,111.966037
976,7/4/2021 0:00,3920,0.29381067,0.045531853,1.441163609,0.402101887,1440,86.292418
678,9/9/2020 0:00,4398,0.075738196,0.053294118,1.194565423,0.458384194,1730,127.930089
307,9/4/2019 0:00,3895,0.181563785,0.064228968,1.177994235,0.364839322,1080,81.222827
296,8/24/2019 0:00,3060,0.215170506,0.03080667,0.977127281,0.220912997,1020,71.988449
1030,8/27/2021 0:00,4104,0.52153253,0.102720489,1.025525534,0.438190509,1760,130.281221
981,7/9/2021 0:00,4253,0.309589981,0.105310143,1.259713985,0.390348446,1440,93.241612
458,2/2/2020 0:00,3091,0.16260544,0.003565498,1.012892266,0.409723174,1550,110.98101
106,2/15/2019 0:00,3613,0.01451175,0.043201644,1.101274228,0.244609827,606,43.191347
656,8/18/2020 0:00,4841,0.107022547,0.072038166,1.245246229,0.56963941,1690,127.334808
55,12/26/2018 0:00,2692,0.037238145,0.129054213,0.889580548,0.135384879,511,39.38172
365,11/1/2019 0:00,3890,0.143165277,0.042718633,1.241092908,0.393957464,1370,90.034605
213,6/2/2019 0:00,3991,0.14297639,0.016969512,1.200579634,0.279393722,746,53.764036
120,3/1/2019 0:00,3526,0.041906193,0.069645328,1.053071407,0.377565859,607,44.684496
425,12/31/2019 0:00,3254,0.112393457,0.011486679,0.982280848,0.12391169,1290,95.1724
280,8/8/2019 0:00,3879,0.23025873,0.107043839,1.239356866,0.401888584,999,73.980794
25,11/26/2018 0:00,3768,0.0106874,0.285558444,1.186164189,0.248323161,665,41.578428
72,1/12/2019 0:00,2979,0.023062052,0.089009348,0.896714659,0.134688921,562,43.172096
940,5/29/2021 0:00,4533,0.298926182,0.211249944,1.322726397,0.47469328,2500,149.763852
44,12/15/2018 0:00,2675,0.018427391,0.120297148,0.941854396,0.136270785,565,36.128074
837,2/15/2021 0:00,4826,0.62372806,0.155417846,1.321964755,0.794175438,2140,156.021049
916,5/5/2021 0:00,5002,0.748226997,0.256227165,1.34764428,0.675753565,2060,170.671365
289,8/17/2019 0:00,3705,0.160943644,0.068693906,0.996770289,0.204006041,999,74.456151
949,6/7/2021 0:00,4419,0.362868345,0.06910914,1.250724722,0.575499782,2100,150.665524
413,12/19/2019 0:00,3138,0.131447768,0.057862079,1.013370414,0.356838139,1290,90.712915
424,12/30/2019 0:00,3103,0.142767386,0.006651788,0.944622572,0.278791181,1290,93.057458
1026,8/23/2021 0:00,3082,0.769701975,0.04746525,0.928536898,0.490473002,1560,123.285734
494,3/9/2020 0:00,3636,0.136905202,0.039330742,1.14787998,0.453705549,1610,121.197746
1069,10/5/2021 0:00,4250,0.627904728,0.109096101,1.274705579,0.591125366,1990,146.661109
504,3/19/2020 0:00,4614,0.043900985,0.069752055,1.306641869,0.248706172,1660,101.680789
670,9/1/2020 0:00,4859,0.109622512,0.024287886,1.273975422,0.576030703,1760,122.817197
371,11/7/2019 0:00,3794,0.149715317,0.016842374,1.178781985,0.378848789,1370,91.590278
873,3/23/2021 0:00,4880,0.744814815,0.250523418,1.352368143,0.748003986,2190,160.766785
404,12/10/2019 0:00,3335,0.118930982,0.026221373,1.106342622,0.371467273,1290,97.78374
60,12/31/2018 0:00,2605,0.036906382,0.076986057,0.888393981,0.125974653,525,40.723455
596,6/19/2020 0:00,4394,0.053896569,0.01536834,1.284985049,0.456897303,1580,105.905234
92,2/1/2019 0:00,3261,0.029022613,0.027621857,1.024592437,0.300119885,581,41.813561
692,9/23/2020 0:00,4885,0.073978989,0.0233762,1.287952528,0.437704739,1930,136.590568
734,11/4/2020 0:00,4082,0.15859125,0.059524265,1.342291579,0.464946752,1680,110.352547
755,11/25/2020 0:00,4812,0.207890547,0.157196766,1.233440948,0.520156318,1760,137.459414
292,8/20/2019 0:00,4004,0.221378652,0.046237529,1.077213275,0.387492994,1020,73.295436
405,12/11/2019 0:00,3512,0.097945199,0.012880198,1.195490902,0.328506259,1290,96.761139
331,9/28/2019 0:00,3136,0.155386006,0.044811118,0.887235503,0.256669988,1280,90.645115
182,5/2/2019 0:00,3709,0.109596381,0.008124151,1.100861511,0.427763592,635,48.183714
526,4/10/2020 0:00,3181,0.128494731,0.029313591,0.900077294,0.197923024,1470,105.90346
409,12/15/2019 0:00,3208,0.085549158,0.004428202,1.12013029,0.192928318,1290,92.541804
110,2/19/2019 0:00,3457,0.040813401,0.127492197,1.060471256,0.355626829,606,43.60527
966,6/24/2021 0:00,5409,0.252954981,0.171299992,1.380862733,0.107345706,1990,107.438013
622,7/15/2020 0:00,4507,0.051461572,0.019854442,1.313624087,0.502061406,1730,122.915681
594,6/17/2020 0:00,4474,0.053541284,0.035834405,1.271521826,0.37916485,1580,110.570812
464,2/8/2020 0:00,3525,0.170124296,0.019756463,1.116522115,0.308485396,1550,110.600817
998,7/26/2021 0:00,4044,0.421512109,0.059455686,1.147170953,0.483869963,1370,100.202534
736,11/6/2020 0:00,4575,0.188365251,0.173696031,1.272637765,0.628244691,1680,117.295046
261,7/20/2019 0:00,2960,0.261348659,0.076094435,1.047570593,0.278457993,906,62.180292
332,9/29/2019 0:00,3318,0.127482912,0.023364479,0.899054971,0.194617612,1280,91.035501
532,4/16/2020 0:00,3853,0.116932641,0.027520663,1.111490403,0.393716136,1470,118.816055
548,5/2/2020 0:00,3675,0.163598452,0.058127517,1.341512074,0.531279193,1600,112.083216
843,2/21/2021 0:00,4606,0.701521506,0.224836893,1.445759092,0.878201096,2170,151.777618
137,3/18/2019 0:00,3109,0.047716739,0.025362189,0.926942733,0.348072492,607,44.692661
578,6/1/2020 0:00,4259,0.056209708,0.023322411,1.269376455,0.49552843,1510,102.234702
715,10/16/2020 0:00,4329,0.093710588,0.027307596,1.21563509,0.574556268,1930,142.52652
867,3/17/2021 0:00,5843,0.659414877,0.286624272,1.292900154,0.672446596,2140,156.579037
767,12/7/2020 0:00,4145,0.194383145,0.029859079,1.202576087,0.628202653,1920,132.914894
643,8/5/2020 0:00,4682,0.081322573,0.030654851,1.267972853,0.491310643,1680,122.154895
621,7/14/2020 0:00,4674,0.05743155,0.016688565,1.259092438,0.497415457,1730,123.224186
29,11/30/2018 0:00,4037,0.009737246,0.170083338,1.209791366,0.233547674,665,40.633463
165,4/15/2019 0:00,4112,0.068154722,0.033495607,1.22713911,0.41424768,639,45.082049
248,7/7/2019 0:00,3311,0.231881721,0.019003566,0.956807588,0.213168711,793,65.307453
876,3/26/2021 0:00,5674,0.594491172,0.244109496,1.318635669,0.726542941,2190,166.720074
354,10/21/2019 0:00,3453,0.159664574,0.020514751,1.00909334,0.367009715,1300,95.055454
985,7/13/2021 0:00,3868,0.321293557,0.052668333,1.159622037,0.377765149,1440,96.592631
969,6/27/2021 0:00,6242,0.111222233,0.113161434,1.424897492,0.400969982,1990,99.935754
432,1/7/2020 0:00,3251,0.171902719,0.027988301,0.948405778,0.387010338,1380,105.477457
757,11/27/2020 0:00,4357,0.176433149,0.265897346,1.285159448,0.488002117,1760,137.334451
650,8/12/2020 0:00,4419,0.106193615,0.070882664,1.300253535,0.552410164,1690,122.886224
700,10/1/2020 0:00,5118,0.062907075,0.02037382,1.300792403,0.392394283,1930,141.825918
65,1/5/2019 0:00,2390,0.044841511,0.084707694,0.812945822,0.117346017,562,41.263555
884,4/3/2021 0:00,5249,0.654122147,0.145037956,1.31216216,0.827456872,2310,165.320614
1085,10/21/2021 0:00,4907,0.743527864,0.197253617,1.512783581,0.381260509,2010,144.953486
993,7/21/2021 0:00,3827,0.316971907,0.097524489,1.092054917,0.291360466,1370,102.600065
254,7/13/2019 0:00,3591,0.211152515,0.062501535,1.048582589,0.252804073,906,65.236286
992,7/20/2021 0:00,4498,0.251051468,0.063870674,1.286061041,0.423070935,1370,104.62622
312,9/9/2019 0:00,3623,0.191956055,0.011921167,1.089865103,0.352567416,1080,84.070181
448,1/23/2020 0:00,3124,0.165584026,0.011616554,1.039634667,0.349198169,1480,111.334855
221,6/10/2019 0:00,4058,0.154317199,0.015731605,1.150810567,0.462374665,746,53.981196
235,6/24/2019 0:00,3951,0.278344051,0.021049187,1.215810192,0.543702124,741,56.406072
570,5/24/2020 0:00,3607,0.034702334,0.013957372,1.41277356,0.457281871,1510,90.689769
584,6/7/2020 0:00,2892,0.06826535,0.015367977,0.861702465,0.522147661,1370,111.435315
305,9/2/2019 0:00,3659,0.197352023,0.006255139,1.055764356,0.342255714,1080,76.949688
785,12/25/2020 0:00,4267,0.25329934,0.10084619,1.285844181,0.633606838,1870,135.900227
630,7/23/2020 0:00,4744,0.062717009,0.024596999,1.293743603,0.463863113,1730,113.943059
1033,8/30/2021 0:00,4220,0.483950981,0.050459638,1.178416407,0.629104129,1760,131.124515
249,7/8/2019 0:00,3638,0.308607538,0.01333843,1.064795584,0.486281684,793,65.363802
652,8/14/2020 0:00,4297,0.119770627,0.04305613,1.264694557,0.532446908,1690,125.375834
883,4/2/2021 0:00,5567,0.696330874,0.113298015,1.314276629,0.706206016,2310,163.507251
71,1/11/2019 0:00,3300,0.02838478,0.138867375,0.983164703,0.274848976,562,43.211996
94,2/3/2019 0:00,3086,0.018242624,0.015292015,0.93550021,0.123759108,581,42.24987
33,12/4/2018 0:00,3195,0.031385668,0.130687725,1.083459616,0.284681136,565,37.757484
695,9/26/2020 0:00,3722,0.080692792,0.032947397,1.312045573,0.662531918,1930,136.694669
259,7/18/2019 0:00,5458,0.14921558,0.102566293,1.261034248,0.433046335,906,65.656209
204,5/24/2019 0:00,4648,0.161133391,0.039684385,1.254131843,0.520146976,670,52.65611
440,1/15/2020 0:00,3476,0.160598676,0.093660365,1.065171907,0.381378838,1480,102.912017
668,8/30/2020 0:00,4155,0.070105159,0.007163524,1.310540197,0.629484026,1760,125.523153
946,6/4/2021 0:00,4754,0.367741213,0.130623198,1.290167015,0.475118328,2100,152.576709
77,1/17/2019 0:00,3540,0.01621798,0.066902416,1.097214181,0.237838637,588,40.378612
84,1/24/2019 0:00,2861,0.035736986,0.056464517,0.911348741,0.249620103,588,40.991036
390,11/26/2019 0:00,4175,0.086093528,0.07114352,1.254087262,0.414928069,1300,90.238982
82,1/22/2019 0:00,3396,0.015598027,0.055377266,1.055254915,0.217970356,588,40.531402
588,6/11/2020 0:00,3400,0.090152403,0.042063093,1.382471195,0.300228872,1370,114.994338
590,6/13/2020 0:00,3290,0.06563548,0.033773697,1.067535646,0.581430217,1370,115.951098
936,5/25/2021 0:00,5102,0.369658791,0.318088158,1.359462618,0.476913496,2500,143.71638
601,6/24/2020 0:00,4168,0.052022246,0.024287353,1.288159849,0.368122937,1580,110.749704
848,2/26/2021 0:00,5754,0.565898646,0.281186715,1.293684331,0.681835025,2170,156.295152
518,4/2/2020 0:00,3502,0.110618397,0.045110373,1.115204471,0.263870897,1390,104.989802
587,6/10/2020 0:00,3674,0.075949054,0.040368746,1.080857506,0.35964844,1370,113.943905
5,11/6/2018 0:00,3426,0.075780682,0.042885878,1.072038438,0.325748895,718,53.157631
310,9/7/2019 0:00,3371,0.204321674,0.058381254,0.92503502,0.252502024,1080,81.911711
531,4/15/2020 0:00,3414,0.131013629,0.025776069,1.176886651,0.419314006,1470,115.878649
104,2/13/2019 0:00,3419,0.030587119,0.043730192,1.153285621,0.367683876,606,44.492827
97,2/6/2019 0:00,3039,0.030716142,0.015691836,1.050370409,0.268628947,581,42.324946
939,5/28/2021 0:00,5094,0.334092813,0.146537843,1.343872412,0.450256897,2500,148.163051
501,3/16/2020 0:00,4194,0.042688771,0.055457926,1.193453008,0.259017874,1660,108.109035
314,9/11/2019 0:00,3021,0.256016196,0.026466209,0.953451777,0.384151772,1080,85.217636
490,3/5/2020 0:00,3302,0.184039296,0.014105453,0.999121178,0.453973345,1550,119.877989
780,12/20/2020 0:00,3897,0.256412087,0.127301963,1.344026093,0.735841066,1870,136.823648
1001,7/29/2021 0:00,3878,0.479900753,0.196816156,1.022161838,0.255823006,1370,104.086353
281,8/9/2019 0:00,3911,0.240466444,0.058660228,1.156579728,0.393473252,999,74.960524
711,10/12/2020 0:00,4091,0.090700733,0.011002876,1.184181315,0.67409541,1930,138.141089
266,7/25/2019 0:00,3725,0.197854754,0.057660502,1.133330787,0.402486455,901,64.609474
543,4/27/2020 0:00,4081,0.123573337,0.018185972,1.179406794,0.575686616,1600,111.554967
238,6/27/2019 0:00,4897,0.251879552,0.1567091,1.233317704,0.597708165,787,57.195337
411,12/17/2019 0:00,3569,0.098737391,0.020783394,1.314409858,0.38484773,1290,91.170137
145,3/26/2019 0:00,4260,0.028001934,0.034258608,1.207859007,0.331383509,638,47.277877
1010,8/7/2021 0:00,3044,0.545438254,0.136781703,0.791597707,0.492528181,1450,110.879829
604,6/27/2020 0:00,3758,0.044942179,0.036756489,1.105369536,0.484073924,1580,115.233498
118,2/27/2019 0:00,3766,0.028280072,0.032249021,1.125122057,0.326368562,607,42.855236
922,5/11/2021 0:00,4859,0.793857164,0.27725218,1.349528221,0.688536152,2060,178.111649
566,5/20/2020 0:00,4729,0.054885131,0.064076578,1.327850148,0.386208507,1520,94.810873
250,7/9/2019 0:00,3958,0.273745256,0.079737341,1.155262513,0.487306159,859,67.335985
1083,10/19/2021 0:00,4561,0.756739897,0.2300121,1.302747961,0.596618297,2010,144.403298
285,8/13/2019 0:00,4022,0.247303549,0.01866806,1.189568873,0.399031575,999,73.747045
449,1/24/2020 0:00,3137,0.156433544,0.036207003,1.032869612,0.235398891,1480,111.334855
9,11/10/2018 0:00,2983,0.081713921,0.060533417,0.955554313,0.215673849,718,47.652507
845,2/23/2021 0:00,6114,0.580370995,0.600094149,1.298336512,0.789308401,2170,148.383786
196,5/16/2019 0:00,4727,0.158609143,0.081702736,1.245267137,0.579304976,670,49.070691
704,10/5/2020 0:00,4203,0.080049171,0.001939781,1.199752821,0.605439995,1930,136.460935
370,11/6/2019 0:00,3873,0.147046047,0.022836095,1.273832242,0.387950738,1370,91.784738
81,1/21/2019 0:00,3103,0.029302182,0.059689529,0.943183713,0.216858691,588,40.467001
819,1/28/2021 0:00,5045,0.362424736,0.380937154,1.315946407,0.610235411,2080,148.549581
572,5/26/2020 0:00,4371,0.040013156,0.03983207,1.307555581,0.437337298,1510,90.293242
721,10/22/2020 0:00,5021,0.118119188,0.145736315,1.283932423,0.369402753,2000,137.413336
239,6/28/2019 0:00,4412,0.281710488,0.125605741,1.255488209,0.653448652,793,57.552683
530,4/14/2020 0:00,3213,0.131398858,0.04570406,0.988374018,0.507177555,1470,114.921002
211,5/31/2019 0:00,5221,0.122663696,0.084095197,1.291766803,0.449191941,746,53.517351
830,2/8/2021 0:00,4775,0.58279141,0.152234091,1.386773296,0.756719811,2140,158.947631
881,3/31/2021 0:00,5565,0.781824063,0.151608376,1.345339949,0.613708974,2190,164.128361
558,5/12/2020 0:00,4305,0.05673637,0.157559675,1.279955788,0.441773058,1610,121.087435
227,6/16/2019 0:00,4076,0.143225339,0.02695349,1.175121715,0.327229557,741,55.195585
989,7/17/2021 0:00,3137,0.316755287,0.062460747,0.784945664,0.407468705,1430,101.59056
602,6/25/2020 0:00,4155,0.050822865,0.048308198,1.253759667,0.29587096,1580,110.861799
465,2/9/2020 0:00,3083,0.199733991,0.01585161,0.951914072,0.337399577,1550,109.282833
919,5/8/2021 0:00,4303,0.834537396,0.188515925,1.310903526,0.847782898,2060,175.207666
177,4/27/2019 0:00,4045,0.058875561,0.100788854,1.170310445,0.234673351,635,45.158439
1051,9/17/2021 0:00,4275,0.534187068,0.075810765,1.224006599,0.522457495,1840,135.482517
628,7/21/2020 0:00,4909,0.046999601,0.010933103,1.290345384,0.670019306,1730,115.544421
493,3/8/2020 0:00,2974,0.168446421,0.010691884,0.869396677,0.460674472,1550,123.287363
673,9/4/2020 0:00,4857,0.077548034,0.106106057,1.300009081,0.564552843,1760,126.308447
430,1/5/2020 0:00,2895,0.142211798,0.007834688,0.790838368,0.330922651,1380,105.793195
682,9/13/2020 0:00,3250,0.084392767,0.010258279,0.938489469,0.680374603,1730,135.233596
567,5/21/2020 0:00,4399,0.063356869,0.065089171,1.295657931,0.230983372,1510,93.625665
7,11/8/2018 0:00,3551,0.069349719,0.075410286,1.169965612,0.292526624,718,50.150957
1031,8/28/2021 0:00,3732,0.516348401,0.091303689,0.933237397,0.53914025,1760,130.869363
155,4/5/2019 0:00,4062,0.077607208,0.142413566,1.240968854,0.502002242,638,45.302144
852,3/2/2021 0:00,5381,0.607919003,0.297582502,1.309441853,0.772691038,2170,154.118956
357,10/24/2019 0:00,3639,0.104993387,0.061877446,1.091473233,0.319382512,1370,101.132725
696,9/27/2020 0:00,3394,0.080083487,0.007309669,1.01567023,0.681981379,1930,138.914906
223,6/12/2019 0:00,4725,0.124156936,0.029627433,1.260088069,0.45436414,746,55.411512
329,9/26/2019 0:00,3309,0.178469262,0.076934966,0.970737503,0.380802765,1200,89.338228
583,6/6/2020 0:00,2681,0.10344345,0.036192299,0.793185082,0.520909884,1370,109.091787
525,4/9/2020 0:00,3314,0.12680389,0.037335949,1.069383357,0.25584636,1470,104.926818
900,4/19/2021 0:00,6980,0.563052527,0.558955303,1.305400649,0.697085383,2360,150.787955
435,1/10/2020 0:00,3639,0.144026021,0.026192729,1.120475946,0.310493866,1380,108.770686
732,11/2/2020 0:00,5369,0.082589485,0.017842124,1.326538305,0.652502024,2000,108.779984
720,10/21/2020 0:00,4866,0.091323495,0.045004611,1.297150062,0.541187644,2000,139.371646
629,7/22/2020 0:00,4796,0.067523034,0.028225082,1.260738632,0.481685558,1730,113.203969
481,2/25/2020 0:00,3624,0.174238571,0.028707964,1.064563583,0.433514978,1550,110.625513
850,2/28/2021 0:00,4581,0.473202327,0.118259441,1.364487969,0.825998007,2170,156.124508
1050,9/16/2021 0:00,4741,0.487132531,0.068121003,1.506390096,0.298094289,1840,135.613292
823,2/1/2021 0:00,5757,0.33679089,0.105065416,1.313160675,0.91160553,2080,150.835174
934,5/23/2021 0:00,4641,0.321532996,0.202286315,1.37997195,0.516075543,2500,145.139315
613,7/6/2020 0:00,4028,0.064989833,0.008004882,1.227644104,0.619732827,1580,123.413264
1035,9/1/2021 0:00,4757,0.490014448,0.074671457,1.256872029,0.412036806,1760,127.249993
677,9/8/2020 0:00,4277,0.079590941,0.040364033,1.249473174,0.571549791,1730,128.038751
951,6/9/2021 0:00,4593,0.3233589,0.275584284,1.067569262,0.427242013,2100,150.516054
773,12/13/2020 0:00,3610,0.198594486,0.047251142,1.174223994,0.686681821,1910,131.826543
163,4/13/2019 0:00,3959,0.056236778,0.068625899,1.107431615,0.230827676,639,46.112957
228,6/17/2019 0:00,4924,0.15911088,0.083968039,1.233756692,0.495677897,741,54.248596
482,2/26/2020 0:00,3843,0.145186636,0.028035657,1.163531007,0.417696332,1550,109.924844
844,2/22/2021 0:00,5532,0.638877697,0.154864846,1.334959,0.810275892,2170,150.85001
